t;max_slip_rate;moment_rate
0.49076333301356E+02;0.7744860E-01;0.1124293E+20
0.49108204317413E+02;0.7785645E-01;0.1124282E+20
0.49140076936210E+02;0.7780276E-01;0.1124319E+20
0.49172056846947E+02;0.7801982E-01;0.1124364E+20
0.49204522709470E+02;0.7833349E-01;0.1124347E+20
0.49236431022957E+02;0.7809167E-01;0.1124245E+20
0.49268162632020E+02;0.7938547E-01;0.1124095E+20
0.49299908831244E+02;0.7955360E-01;0.1123949E+20
0.49331629281209E+02;0.7949209E-01;0.1123829E+20
0.49363455128620E+02;0.7983923E-01;0.1123706E+20
0.49395755124296E+02;0.8021919E-01;0.1123544E+20
0.49427395216194E+02;0.8031048E-01;0.1123348E+20
0.49458988353221E+02;0.8107057E-01;0.1123129E+20
0.49490681249014E+02;0.8139308E-01;0.1122894E+20
0.49522258336373E+02;0.8126630E-01;0.1122644E+20
0.49553973113476E+02;0.8159758E-01;0.1122369E+20
0.49586223311688E+02;0.8198836E-01;0.1122082E+20
0.49617661562635E+02;0.8214172E-01;0.1121826E+20
0.49649278429726E+02;0.8280450E-01;0.1121598E+20
0.49680835513421E+02;0.8309314E-01;0.1121368E+20
0.49712273908161E+02;0.8290962E-01;0.1121102E+20
0.49743923931310E+02;0.8328806E-01;0.1120786E+20
